year_quarter,category,raw_score,z_score
2022-Q2,Inflation,-0.0004912556494399686,0.07181343105061437
2022-Q2,GDP / Growth,0.0,0.40161188047152163
2022-Q2,AI,4.912556494399686e-05,-0.6361469650994246
2022-Q2,Unemployment,0.0,0.4031006139827933
2022-Q2,Uncertainty,-0.0003217750206080631,-0.28090367602055283
2022-Q3,Inflation,-0.002883136260245627,-3.4933774240221904
2022-Q3,GDP / Growth,-0.0006053603324851004,-3.5272587655094374
2022-Q3,AI,0.00020905194940942825,-0.5240950429154074
2022-Q3,Unemployment,0.0,0.4031006139827933
2022-Q3,Uncertainty,-0.001127990206008671,-1.525964587503741
2022-Q4,Inflation,-0.0010608376900796328,-0.7771707002343691
2022-Q4,GDP / Growth,-0.00019139240330226263,-0.8405507701783977
2022-Q4,AI,0.0004159511881734024,-0.3791317369580693
2022-Q4,Unemployment,0.0,0.4031006139827933
2022-Q4,Uncertainty,-0.0003969501557508596,-0.3969987632586498
2023-Q1,Inflation,-0.0004731365564565211,0.09882064216097257
2023-Q1,GDP / Growth,-4.904845987835982e-05,0.08328072478515904
2023-Q1,AI,0.001509726796948676,0.3872187299203627
2023-Q1,Unemployment,0.0,0.4031006139827933
2023-Q1,Uncertainty,0.00014236125456034427,0.435875100016073
2023-Q2,Inflation,-0.000853094745338734,-0.4675217806979227
2023-Q2,GDP / Growth,-5.114827886041635e-05,0.0696526148516781
2023-Q2,AI,0.0004091862308833308,-0.38387158317155723
2023-Q2,Unemployment,0.0,0.4031006139827933
2023-Q2,Uncertainty,-0.0007454051966638077,-0.9351277376396123
2023-Q3,Inflation,-0.0005357698222192894,0.005463329378729671
2023-Q3,GDP / Growth,-0.00011056895590194877,-0.3159956367184517
2023-Q3,AI,0.0004848725733912127,-0.33084218349223665
2023-Q3,Unemployment,-3.811266102599284e-05,-1.0770654027098596
2023-Q3,Uncertainty,-0.0004640285889247286,-0.5005898846623257
2023-Q4,Inflation,-0.0006705944644507395,-0.19549803104641406
2023-Q4,GDP / Growth,-4.765989896101421e-05,0.09229267343055503
2023-Q4,AI,0.0006496006024918637,-0.21542600397932812
2023-Q4,Unemployment,0.0,0.4031006139827933
2023-Q4,Uncertainty,-7.768181495969324e-05,0.0960563646916542
2024-Q1,Inflation,-0.00017911517105498835,0.5370709250947437
2024-Q1,GDP / Growth,-8.955758552749418e-05,-0.1796289938015896
2024-Q1,AI,0.000985133440802436,0.0196640320658837
2024-Q1,Unemployment,0.0,0.4031006139827933
2024-Q1,Uncertainty,-0.000319484104183532,-0.2773657489964653
2024-Q2,Inflation,-0.00030229764256377057,0.3534626718464969
2024-Q2,GDP / Growth,2.8705936387644968e-05,0.5879173002135575
2024-Q2,AI,2.8705936387644968e-05,-0.6504539141226949
2024-Q2,Unemployment,0.0,0.4031006139827933
2024-Q2,Uncertainty,-6.166409769386939e-05,0.1207929784642625
2024-Q3,Inflation,-0.00048138002839709425,0.08653342738787342
2024-Q3,GDP / Growth,3.355704697986577e-05,0.6194016657780169
2024-Q3,AI,0.0002412088014806229,-0.5015644448655071
2024-Q3,Unemployment,-0.00010067114093959731,-3.5066238101093363
2024-Q3,Uncertainty,-6.895547795052873e-05,0.10953269372549783
2024-Q4,Inflation,-9.63020030816641e-05,0.6605071650994889
2024-Q4,GDP / Growth,9.238728750923873e-05,1.001217904319781
2024-Q4,AI,0.0006760028977267243,-0.19692731821822076
2024-Q4,Unemployment,-2.7286618642217856e-05,-0.6566187689571168
2024-Q4,Uncertainty,-0.0003808376655209438,-0.3721157889173085
2025-Q1,Inflation,0.0,0.8040490371983209
2025-Q1,GDP / Growth,0.0,0.40161188047152163
2025-Q1,AI,0.0001799370220422852,-0.5444943259145275
2025-Q1,Unemployment,0.0,0.4031006139827933
2025-Q1,Uncertainty,-8.99685110211426e-05,0.0770816724824227
2025-Q2,Inflation,-0.00020430400435848543,0.4995259917323161
2025-Q2,GDP / Growth,0.0,0.40161188047152163
2025-Q2,AI,0.0012546352734215907,0.2084896500402523
2025-Q2,Unemployment,0.0,0.4031006139827933
2025-Q2,Uncertainty,-0.0004278208038727007,-0.44467317820973684
2025-Q3,Inflation,0.0,0.8040490371983209
2025-Q3,GDP / Growth,0.0,0.40161188047152163
2025-Q3,AI,0.006179196704428424,3.658868248306286
2025-Q3,Unemployment,0.0,0.4031006139827933
2025-Q3,Uncertainty,0.0020597322348094747,3.396925330215069
2025-Q4,Inflation,-0.00015595501498147783,0.571592036333455
2025-Q4,GDP / Growth,0.0,0.40161188047152163
2025-Q4,AI,0.0015531844115182682,0.41766717194781017
2025-Q4,Unemployment,0.0,0.4031006139827933
2025-Q4,Uncertainty,4.2367966375989616e-05,0.2814526371507142
2026-Q1,Inflation,-0.00024378352023403217,0.4406802415195614
2026-Q1,GDP / Growth,0.0,0.40161188047152163
2026-Q1,AI,0.00048756704046806434,-0.32895431354362265
2026-Q1,Unemployment,0.0,0.4031006139827933
2026-Q1,Uncertainty,0.0,0.2160225884626994
